semi,clsno,clsfor,clsName,clsRoom,clsOpt,start,end,week,hour,crid,stuCount,teacher
1082,D5894,護理五甲,實用藥理學 (另併１班),３,選,3,4,星期一,2,2,59,楊宜真
1082,D5897,護理五甲,護理英文主題閱讀 (另併１班),５,選,5,6,星期一,2,2,28,徐幸琪
1082,D6039,企管五乙,企業管理綜合個案研究 (學年),５,必,5,7,星期一,3,3,47,賴明弘
1082,D6036,企管五乙,科技管理,２,必,2,4,星期一,3,3,41,趙正敏
1082,D6106,國貿五甲,商用英文習作 (學年),１,必,1,2,星期一,2,1,57,林慧洙
1082,D6103,國貿五甲,國際貿易資訊化練習,３,必,3,4,星期一,2,1,57,張慈淑
1082,D6230,會資五甲,稅務法規與申報實務 (學年),２,必,2,4,星期一,3,3,39,蔡京姐
1082,D6229,會資五甲,應用微積分 (學年) (另併１班),５,選,5,7,星期一,3,3,21,詹明華
1082,D6242,會資五乙,審計學 (學年),１,必,1,4,星期一,4,4,42,盧丕喬
1082,D6430,日語五甲,日本經濟,７,必,7,8,星期一,2,2,53,張銘今
1082,D6438,日語五甲,新聞英語 (學年),５,選,5,6,星期一,2,2,29,廖家弘
1082,D6591,資應菁英班五甲,擴增實境,２,選,2,4,星期一,3,3,23,周殷菀
1082,D6702,保金五甲,保險實務,２,必,2,4,星期一,3,3,38,王財驛
1082,D8272,保金五乙,理財規劃,２,必,2,4,星期一,3,3,42,卓翠月
1082,D8234,企管四甲,人際關係,２,必,2,4,星期一,3,3,46,龔慧珠
1082,D6009,企管四甲,貨幣銀行學 (學年),５,選,5,6,星期一,2,2,27,張瓊燕
1082,D6013,企管四甲,管理數學 (學年),７,必,7,8,星期一,2,2,46,陳柏儒
1082,D6022,企管四乙,統計學 (學年),２,必,2,4,星期一,3,3,43,簡郁紘
1082,D6024,企管四乙,管理數學 (學年),５,必,5,6,星期一,2,2,44,陳柏儒
1082,D6089,國貿四甲,大學英文選 (學年),３,選,3,4,星期一,2,2,43,馬蕙萱
1082,D7979,國貿四甲,行銷學,５,必,5,7,星期一,3,3,47,蔡樹芬
1082,D6206,會資四甲,成本與管理會計學 (學年),２,必,2,3,星期一,5,4,38,郭佳如
1082,D6207,會資四甲,高級會計學 (學年),４,必,4,5,星期一,4,3,38,蔡美秀
1082,D6208,會資四甲,會計資訊系統 (學年),６,必,6,8,星期一,3,2,37,盧正宗
1082,D6217,會資四乙,企業管理 (學年),２,必,2,4,星期一,3,3,39,林秀霞
1082,D6218,會資四乙,成本與管理會計學 (學年),５,必,5,6,星期一,5,4,51,郭佳如
1082,D6220,會資四乙,會計資訊系統 (學年),７,必,7,9,星期一,3,2,42,陳美嬪
1082,D6294,品設科菁英班四甲,通用設計,２,必,2,4,星期一,3,3,45,蔡宜佳
1082,D6290,品設科菁英班四甲,複合媒材設計,５,選,5,7,星期一,3,3,15,魏明仕
1082,D6358,資管四甲,管理數學 (學年),３,必,3,4,星期一,2,2,49,黃慧鳳
1082,D6418,日語四甲,日文閱讀指導 (學年),５,必,5,7,星期一,3,3,47,楊家源
1082,D6426,日語四甲,國際貿易理論與政策 (學年),３,必,3,4,星期一,2,2,44,張銘今
1082,D6495,英語四甲,商務溝通技巧,３,選,3,4,星期一,2,2,24,沈燦宏
1082,D6577,資應菁英班四甲,Linux基礎與系統管理,５,必,5,7,星期一,3,3,40,徐旺興
1082,D6578,資應菁英班四甲,行動應用服務開發,２,必,2,4,星期一,3,3,40,邱淑芬
1082,D6668,保金四甲,金融機構管理 (另併１班),６,選,6,8,星期一,3,3,24,梁勝亮
1082,D6673,保金四甲,財務管理,２,必,2,4,星期一,3,3,37,陳怡諠
1082,D8269,保金四乙,財務報表分析,５,必,5,5,星期一,3,3,37,張巧宜
1082,D6689,保金四乙,期貨與選擇權,２,必,2,4,星期一,3,3,43,郭玟秀
1082,D5864,護理三甲,內外科護理學（二）,６,必,6,7,星期一,4,4,58,曾月霞
1082,D5866,護理三甲,兒科護理學,３,必,3,5,星期一,3,3,56,劉千琪
1082,D5871,護理三甲,體育 (學年),１,必,1,2,星期一,2,0,54,吳庭茂
1082,D5879,護理三乙,兒科護理學,１,必,1,2,星期一,3,3,54,張玠
1082,D5882,護理三乙,英文 (學年),５,必,5,7,星期一,3,3,55,廖姿斐
1082,D5884,護理三乙,體育 (學年),３,必,3,4,星期一,2,0,50,吳庭茂
1082,D5977,企管三甲,生涯規劃,７,必,7,8,星期一,2,2,41,蔡慧玲
1082,D5981,企管三甲,行銷管理 (學年),３,必,3,4,星期一,2,2,42,林孟眉
1082,D5985,企管三甲,微積分 (學年),５,必,5,6,星期一,2,2,51,簡郁紘
1082,D5978,企管三甲,資料庫處理 (學年),１,選,1,2,星期一,2,2,35,李志強
1082,D5992,企管三乙,生涯規劃,３,必,3,4,星期一,2,2,39,蔡慧玲
1082,D5996,企管三乙,行銷管理 (學年),５,必,5,6,星期一,2,2,39,林孟眉
1082,D5990,企管三乙,商業談判,２,選,2,8,星期一,3,3,33,呂思齊
1082,D6070,國貿三甲,日語（二）,３,選,3,4,星期一,2,2,26,林高德
1082,D6077,國貿三甲,國際貿易原理與政策 (學年),５,必,5,7,星期一,3,3,58,黃俊儒
1082,D6081,國貿三甲,體育 (學年),１,必,1,2,星期一,2,0,56,黃僅喻
1082,D6170,會資三甲,公司法,１,必,1,1,星期一,3,3,42,李宏仁
1082,D6176,會資三甲,英文 (學年),５,必,5,7,星期一,3,3,42,王家音
1082,D6178,會資三甲,統計學 (學年),２,必,2,4,星期一,4,3,41,王琮胤
1082,D6185,會資三乙,公司法,２,必,2,4,星期一,3,3,43,賴世琳
1082,D6194,會資三乙,微積分 (學年),１,必,1,1,星期一,4,3,45,黃韞臻
1082,D6187,會資三乙,資料庫系統,５,必,5,7,星期一,3,3,43,朱中華
1082,D6283,品設科菁英班三甲,英文 (學年),３,必,3,5,星期一,3,3,42,林怡伶
1082,D6279,品設科菁英班三甲,設計方法,６,必,6,8,星期一,3,3,44,吳銜容
1082,D6285,品設科菁英班三甲,體育 (學年),１,必,1,2,星期一,2,0,42,鄧政顯
1082,D6342,資管三甲,統計學 (學年),５,必,5,7,星期一,3,3,45,張嘉容
1082,D6345,資管三甲,資料結構 (學年),１,必,1,2,星期一,2,2,48,蕭沐棟
1082,D6346,資管三甲,資訊網路 (學年),３,必,3,4,星期一,2,2,43,許耀東
1082,D6400,日語三甲,生涯規劃,５,必,5,6,星期一,2,2,57,蔡慧玲
1082,D6407,日語三甲,英語聽講練習（二） (學年),１,必,1,2,星期一,2,1,59,湯馬丁
1082,D6488,英語三甲,英語會話（二） (學年),５,必,5,6,星期一,2,2,31,李華德
1082,D8037,英語三甲,英語會話（二） (學年),５,必,5,6,星期一,2,2,24,莫利斯
1082,D8038,英語三甲,商業法律 (學年),７,選,7,8,星期一,2,2,33,梁友文
1082,D6491,英語三甲,國文 (學年),２,必,2,4,星期一,3,3,57,洪宏銘
1082,D6562,資應菁英班三甲,物件導向程式設計（二）,５,必,5,7,星期一,3,3,51,蕭國倫
1082,D6565,資應菁英班三甲,國文 (學年),２,必,2,4,星期一,3,3,42,張致苾
1082,D6650,保金三甲,保險學 (學年),２,必,2,4,星期一,3,3,38,蘇真慧
1082,D6654,保金三甲,微積分 (學年),５,必,5,6,星期一,2,2,39,劉議謙
1082,D6662,保金三乙,國文 (學年),５,必,5,7,星期一,3,3,46,許明珠
1082,D6664,保金三乙,微積分 (學年),３,必,3,4,星期一,2,2,44,劉議謙
1082,D5836,護理二甲,英文 (學年),３,必,3,4,星期一,3,3,51,程春美
1082,D5828,護理二甲,音樂,１,必,1,2,星期一,2,2,51,楊怡倫
1082,D5832,護理二甲,營養學,７,必,7,8,星期一,2,2,52,湯曉君
1082,D5839,護理二甲,體育 (學年),５,必,5,6,星期一,2,1,51,吳秋燕
1082,D5855,護理二乙,英文 (學年),５,必,5,6,星期一,3,3,51,程春美
1082,D5847,護理二乙,音樂,３,必,3,4,星期一,2,2,50,楊怡倫
1082,D5852,護理二乙,藥理學（一）,１,必,1,2,星期一,2,2,52,楊宜真
1082,D5858,護理二乙,體育 (學年),７,必,7,8,星期一,2,1,51,吳秋燕
1082,D5948,企管二甲,商事法,３,必,3,4,星期一,2,2,41,謝蕙如
1082,D5956,企管二甲,數學 (學年),６,必,6,8,星期一,3,3,43,侯幸雨
1082,D5968,企管二乙,國文 (學年),５,必,5,7,星期一,3,3,50,蔡政惠
1082,D6060,國貿二甲,英文 (學年),１,必,1,3,星期一,3,3,52,曾心嫻
1082,D6065,國貿二甲,經濟學 (學年),５,必,5,7,星期一,3,3,53,林家慶
1082,D6145,會資二甲,民法 (學年),１,必,1,2,星期一,2,2,46,姜祖華
1082,D6149,會資二甲,國文 (學年),５,必,5,7,星期一,3,3,47,林燕玲
1082,D6158,會資二乙,中級會計學（一） (學年),２,必,2,4,星期一,5,4,43,蘇淑慧
1082,D6159,會資二乙,民法 (學年),５,必,5,6,星期一,2,2,46,謝蕙如
1082,D6266,品設科菁英班二甲,英文 (學年),２,必,2,4,星期一,3,3,49,劉文榮
1082,D6263,品設科菁英班二甲,陶瓷基本技法,５,必,5,7,星期一,3,3,49,徐子雲
1082,D6321,資管二甲,行銷管理,２,選,2,4,星期一,3,3,40,張玲娥
1082,D6333,資管二甲,數學 (學年),５,必,5,7,星期一,3,3,40,陳吉祥
1082,D7921,日語二甲,日語（二） (學年),３,必,3,4,星期一,5,5,26,謝敏華
1082,D6391,日語二甲,英語聽講練習（一） (學年),１,必,1,2,星期一,2,1,50,魏毓瑛
1082,D6393,日語二甲,國文 (學年),５,必,5,7,星期一,3,3,49,廖藤葉
1082,D6472,英語二甲,英文 (學年),２,必,2,4,星期一,3,3,52,李如芬
1082,D6467,英語二甲,英文專書選讀 (學年),７,選,7,8,星期一,2,2,55,張碧蓉
1082,D6556,資應菁英班二甲,程式設計（二） (學年),５,必,5,7,星期一,3,2,39,陳大仁
1082,D6558,資應菁英班二甲,體育 (學年),３,必,3,4,星期一,2,1,38,鄧政顯
1082,D6625,保金二甲,全民國防教育 (學年),３,必,3,3,星期一,1,1,43,瞿韻華
1082,D6627,保金二甲,健康與護理 (學年),４,必,4,4,星期一,1,1,43,楊淑雅
1082,D6623,保金二甲,商事法,５,必,5,7,星期一,3,3,47,賴世琳
1082,D6638,保金二乙,中級會計學 (學年),５,必,5,7,星期一,3,3,44,陳靜宜
