semi,clsno,clsfor,clsName,clsRoom,clsOpt,start,end,week,hour,crid,stuCount,teacher
1102,D2562,企管五甲,科技管理,５,必,5,7,星期一,3,3,52,趙正敏魏莉芳
1102,D2639,國貿五甲,商用英文習作 (學年),３,必,3,4,星期一,2,1,52,林慧洙
1102,D2759,會資五甲,稅務法規與申報實務 (學年),２,必,2,4,星期一,3,3,38,王國揚
1102,D2889,資管五甲,管理資訊系統,２,必,2,4,星期一,3,3,40,王淑玲
1102,D4881,資管五甲,企業專業實習 (另併１班),１,選,1,1,星期一,6,6,1,連俊瑋
1102,D8232,資管五甲,企業專業實習 (另併１班),１,選,1,1,星期一,6,6,1,陳大仁
1102,D8233,資管五甲,企業專業實習 (另併１班),１,選,1,1,星期一,6,6,1,廖士寬
1102,D8234,資管五甲,企業專業實習 (另併１班),１,選,1,1,星期一,6,6,2,蕭國倫
1102,D8235,資管五甲,企業專業實習 (另併１班),１,選,1,1,星期一,6,6,3,駱榮問
1102,D8314,資管五甲,企業專業實習 (另併１班),１,選,1,1,星期一,6,6,1,黃天麒
1102,D3044,英語五甲,英語演講與溝通 (學年),５,必,5,6,星期一,2,2,30,徐琍沂
1102,D3216,保金五甲,金融實務,２,必,2,4,星期一,3,3,37,張巧宜
1102,D3227,保金五乙,年金與退休金規劃,５,必,5,7,星期一,3,3,37,陳冠志
1102,D4732,保金五乙,國際金融與匯兌,２,必,2,4,星期一,3,3,37,吳明哲
1102,D4848,企管四甲,人際關係,２,必,2,4,星期一,3,3,38,龔慧珠
1102,D2542,企管四甲,貨幣銀行學 (學年),５,選,5,6,星期一,2,2,30,張瓊燕
1102,D2546,企管四甲,管理數學 (學年),７,必,7,8,星期一,2,2,38,盧慶樺
1102,D2553,企管四乙,貨幣銀行學 (學年),７,選,7,8,星期一,2,2,23,張瓊燕
1102,D2557,企管四乙,管理數學 (學年),５,必,5,6,星期一,2,2,46,盧慶樺
1102,D2624,國貿四甲,大學英文選 (學年),３,選,3,4,星期一,2,2,37,馬蕙萱
1102,D2621,國貿四甲,商業心理學,５,選,5,6,星期一,2,2,40,邱麗蓉
1102,D2734,會資四甲,企業管理 (學年),２,必,2,4,星期一,3,3,42,林秀霞
1102,D2737,會資四甲,會計資訊系統 (學年),５,必,5,7,星期一,3,2,43,盧正宗
1102,D2747,會資四乙,成本與管理會計學 (學年),２,必,2,4,星期一,5,4,43,郭佳如
1102,D2749,會資四乙,會計資訊系統 (學年),５,必,5,7,星期一,3,2,42,陳美嬪
1102,D2815,品設科菁英班四甲,複合媒材設計,２,選,2,4,星期一,3,3,23,魏明仕
1102,D2821,品設科菁英班四甲,關懷商品設計（二）,５,必,5,7,星期一,3,3,40,王譔博
1102,D2882,資管四甲,管理數學 (學年),３,必,3,4,星期一,2,2,32,黃慧鳳
1102,D2940,日語四甲,日文閱讀指導 (學年),５,必,5,7,星期一,3,3,25,羅曉勤
1102,D4777,日語四甲,日文閱讀指導 (學年),５,必,5,7,星期一,3,3,28,張宜樺
1102,D2941,日語四甲,日文翻譯（一） (學年),３,必,3,4,星期一,2,2,52,葉東哲
1102,D3092,資應菁英班四甲,作業系統,２,選,2,4,星期一,3,3,23,范敏玄
1102,D3192,保金四甲,日文 (學年),５,選,5,6,星期一,2,2,17,林敏容
1102,D3188,保金四甲,保險法,２,必,2,4,星期一,3,3,44,曾耀鋒
1102,D3202,保金四乙,保險法,５,必,5,7,星期一,3,3,36,曾耀鋒
1102,D3209,保金四乙,貨幣銀行學 (學年),３,必,3,4,星期一,2,2,34,卓翠月
1102,D5199,資工四甲,行動裝置程式設計,５,選,5,7,星期一,3,3,25,張鈞淯
1102,D3321,資工四甲,實務專題（二）,１,必,1,1,星期一,3,2,8,洪啟舜
1102,D3322,資工四甲,系統與網路管理,２,必,2,4,星期一,3,3,42,林維展
1102,D2400,護理三甲,兒科護理學,５,必,5,7,星期一,3,3,57,劉千琪
1102,D2404,護理三甲,體育 (學年),１,必,1,2,星期一,2,0,53,吳庭茂
1102,D2419,護理三乙,體育 (學年),３,必,3,4,星期一,2,0,53,吳庭茂
1102,D2421,護理三乙,英語文 (學年),５,必,5,7,星期一,3,3,58,廖姿斐
1102,D2513,企管三甲,生產與作業管理 (學年),３,必,3,4,星期一,2,2,49,趙正敏
1102,D2516,企管三甲,微積分 (學年),５,必,5,6,星期一,2,2,61,簡郁紘
1102,D2511,企管三甲,資料庫處理 (學年),１,選,1,2,星期一,2,2,28,何蕙萍
1102,D2527,企管三乙,人力資源管理 (學年),５,必,5,6,星期一,2,2,45,呂思齊
1102,D2528,企管三乙,生產與作業管理 (學年),７,必,7,8,星期一,2,2,44,徐牧群
1102,D2523,企管三乙,商業談判,２,選,2,4,星期一,3,3,36,呂思齊
1102,D2610,國貿三甲,國際貿易原理與政策 (學年),６,必,6,8,星期一,3,3,47,黃俊儒
1102,D2614,國貿三甲,體育 (學年),１,必,1,2,星期一,2,0,47,黃僅喻
1102,D2616,國貿三甲,英語文 (學年),３,必,3,4,星期一,3,3,52,柯沛慈
1102,D2705,會資三甲,統計學 (學年),２,必,2,4,星期一,4,3,42,王琮胤
1102,D2710,會資三甲,英語文 (學年),５,必,5,7,星期一,3,3,48,王家音
1102,D2721,會資三乙,微積分 (學年),１,必,1,1,星期一,4,3,40,黃韞臻
1102,D2716,會資三乙,資料庫系統,２,必,2,4,星期一,3,3,40,朱中華
1102,D2724,會資三乙,國語文 (學年),５,必,5,7,星期一,3,3,42,蔡政惠
1102,D2809,品設科菁英班三甲,體育 (學年),１,必,1,2,星期一,2,0,51,戴偉國
1102,D2802,品設科菁英班三甲,金屬漆藝,６,選,6,8,星期一,3,3,17,李本育
1102,D2811,品設科菁英班三甲,英語文 (學年),３,必,3,5,星期一,3,3,52,林怡伶
1102,D2864,資管三甲,統計學 (學年),５,必,5,7,星期一,3,3,43,張嘉容
1102,D2867,資管三甲,資料結構 (學年),１,必,1,2,星期一,2,2,43,蕭沐棟
1102,D2868,資管三甲,資訊網路 (學年),３,必,3,4,星期一,2,2,43,許耀東
1102,D2926,日語三甲,日文習作（一） (學年),３,必,3,4,星期一,2,2,21,呂思盈
1102,D4685,日語三甲,日文習作（一） (學年),３,必,3,4,星期一,2,2,23,林敏容
1102,D2922,日語三甲,日語文能力檢定對策（二）,５,選,5,6,星期一,2,2,34,簡靖倫
1102,D2933,日語三甲,英語聽說演練（一） (學年),１,必,1,2,星期一,2,2,45,湯馬丁
1102,D3004,英語三甲,中級日語 (學年),２,必,2,4,星期一,3,3,63,謝爵州
1102,D3000,英語三甲,日語聽力與會話（一） (學年),７,選,7,8,星期一,2,2,33,張瓊瑜
1102,D3007,英語三甲,英語會話（二） (學年),５,必,5,6,星期一,2,2,29,莫利斯
1102,D4643,英語三甲,英語會話（二） (學年),５,必,5,6,星期一,2,2,29,李華德
1102,D3080,資應菁英班三甲,生涯規劃,５,必,5,6,星期一,2,2,42,張玲娥
1102,D3084,資應菁英班三甲,微積分 (學年),２,必,2,4,星期一,3,3,58,林韋宏
1102,D3082,資應菁英班三甲,管理資訊系統,７,必,7,9,星期一,3,3,41,陳哲弘
1102,D3164,保金三甲,生涯規劃,７,必,7,8,星期一,2,2,43,林育秀
1102,D3166,保金三甲,保險學 (學年),２,必,2,4,星期一,3,3,42,蘇真慧
1102,D3168,保金三甲,微積分 (學年),５,必,5,6,星期一,2,2,42,劉議謙
1102,D3174,保金三乙,生涯規劃,５,必,5,6,星期一,2,2,41,林育秀
1102,D3178,保金三乙,微積分 (學年),３,必,3,4,星期一,2,2,43,劉議謙
1102,D3291,資工三甲,微處理機,１,必,1,3,星期一,3,3,46,湯秉宏
