semi,clsno,clsfor,clsName,clsRoom,clsOpt,start,end,week,hour,crid,teacher,sch_type
1091,D1544,護理四甲,精神科護理學,(T401),必,5,7,星期二,3,3,柯貞如,1
1091,D1545,護理四甲,醫護文獻導讀,(T401),必,3,4,星期二,2,2,林靜娟,1
1091,D1561,護理四乙,老年護理學,(T402),必,3,4,星期二,2,2,謝佩倫,1
1091,D1564,護理四乙,醫護文獻導讀,(T402),必,1,2,星期二,2,2,林靜娟,1
1091,D1565,護理四乙,醫護英文,(T402),必,5,6,星期二,2,2,張玠,1
1091,D1661,企管四甲,生涯運動 (學年),(0000),必,7,8,星期二,2,0,體育老師,1
1091,D1673,企管四乙,生涯運動 (學年),(0000),必,5,6,星期二,2,0,體育老師,1
1091,D1670,企管四乙,消費者行為,(5410),必,2,4,星期二,3,3,黃月春,1
1091,D1675,企管四乙,管理資訊系統 (學年),(7606),必,7,8,星期二,2,2,賴慧敏,1
1091,D1740,國貿四甲,生涯運動 (學年),(0000),必,5,6,星期二,2,0,體育老師,1
1091,D1730,國貿四甲,個體經濟學,(3804),選,7,9,星期二,3,3,楊政郎,1
1091,D1850,會資四甲,生涯運動 (學年),(0000),必,5,6,星期二,2,0,體育老師,1
1091,D1851,會資四甲,企業管理 (學年),(5209),必,2,4,星期二,3,3,林秀霞,1
1091,D1853,會資四甲,高級會計學 (學年),(5209),必,7,8,星期二,4,3,蔡美秀,1
1091,D1862,會資四乙,生涯運動 (學年),(0000),必,7,8,星期二,2,0,體育老師,1
1091,D1864,會資四乙,成本與管理會計學 (學年),(5210),必,4,6,星期二,5,4,郭佳如,1
1091,D1568,護理五甲,週會/班會 (學年),(0000),必,7,8,星期三,2,0,張素珠,1
1091,D1569,護理五乙,週會/班會 (學年),(0000),必,7,8,星期三,2,0,劉倖吟,1
1091,D1684,企管五甲,週會/班會 (學年),(3511),必,7,8,星期三,2,0,謝沛蓁,1
1091,D1691,企管五乙,週會/班會 (學年),(7418),必,7,8,星期三,2,0,袁本麗,1
1091,D1761,國貿五甲,商業英語會話 (學年),(3411),必,2,4,星期三,3,1,李金玲,1
1091,D5309,國貿五甲,商業英語會話 (學年),(3415),必,2,4,星期三,3,1,湯馬丁,1
1091,D1762,國貿五甲,國際企業概論 (學年),(3805),必,5,6,星期三,2,2,黃俊儒,1
1091,D1763,國貿五甲,週會/班會 (學年),(3805),必,7,8,星期三,2,0,黃俊儒,1
1091,D1882,會資五甲,週會/班會 (學年),(5211),必,7,8,星期三,2,0,蔡美秀,1
