semi,clsno,clsfor,clsName,clsRoom,clsOpt,start,end,week,hour,crid,stuCount,teacher
1101,D6184,企管五甲,物流管理,５,必,5,7,星期一,3,3,40,趙正敏
1101,D6185,企管五甲,財務規劃與預測,２,必,2,4,星期一,3,3,43,王朝仕
1101,D6191,企管五乙,物流管理,２,必,2,4,星期一,3,3,36,陳雅玲
1101,D6268,國貿五甲,商用英文習作 (學年),３,必,3,4,星期一,2,1,53,林慧洙
1101,D6266,國貿五甲,國際行銷概論,６,必,6,8,星期一,3,3,53,黃彥智
1101,D6379,會資五甲,投資學 (另併１班),５,選,5,7,星期一,3,3,43,李固遠
1101,D6388,會資五甲,稅務法規與申報實務 (學年),２,必,2,4,星期一,3,3,38,王國揚
1101,D6454,品設科菁英班五甲,包裝設計,３,選,3,4,星期一,2,2,32,侯純純
1101,D6677,英語五甲,英語演講與溝通 (學年),５,必,5,6,星期一,2,2,34,徐琍沂
1101,D8549,保金五甲,年金與退休金規劃,５,必,5,7,星期一,3,3,39,陳冠志
1101,D6848,保金五甲,社會保險,２,必,2,4,星期一,3,3,37,謝淑慧
1101,D6867,保金五乙,社會保險,５,必,5,7,星期一,3,3,38,謝淑慧
1101,D6038,護理四甲,手術室護理概論 (另併１班),３,選,3,4,星期一,2,2,60,陳光慧
1101,D6039,護理四甲,生死觀照 (另併１班),７,選,7,8,星期一,2,2,49,陳芷如
1101,D6052,護理四甲,醫護英文,５,必,5,6,星期一,2,2,54,陳芷如
1101,D6070,護理四乙,醫護英文,５,必,5,6,星期一,2,2,54,張玠
1101,D6165,企管四甲,貨幣銀行學 (學年),５,選,5,6,星期一,2,2,32,張瓊燕
1101,D6169,企管四甲,管理數學 (學年),７,必,7,8,星期一,2,2,47,盧慶樺
1101,D6177,企管四乙,貨幣銀行學 (學年),７,選,7,8,星期一,2,2,23,張瓊燕
1101,D6181,企管四乙,管理數學 (學年),５,必,5,6,星期一,2,2,41,盧慶樺
1101,D6246,國貿四甲,大學英文選 (學年),３,選,3,4,星期一,2,2,41,馬蕙萱
1101,D6245,國貿四甲,貨幣銀行學,５,必,5,7,星期一,3,3,49,鄭美幸
1101,D6359,會資四甲,企業管理 (學年),２,必,2,4,星期一,3,3,41,林秀霞
1101,D6362,會資四甲,會計資訊系統 (學年),５,必,5,7,星期一,3,2,43,盧正宗
1101,D6372,會資四乙,成本與管理會計學 (學年),２,必,2,4,星期一,5,4,46,郭佳如
1101,D6374,會資四乙,會計資訊系統 (學年),５,必,5,7,星期一,3,2,44,陳美嬪
1101,D6447,品設科菁英班四甲,人因工程,２,必,2,4,星期一,3,3,41,王譔博
1101,D6445,品設科菁英班四甲,時尚工藝設計,７,選,7,9,星期一,3,3,16,李本育
1101,D6449,品設科菁英班四甲,設計史,５,必,5,6,星期一,2,2,41,蔡宜佳
1101,D6511,資管四甲,雲端技術與應用,５,必,5,7,星期一,3,3,35,邱啟員
1101,D6516,資管四甲,管理數學 (學年),３,必,3,4,星期一,2,2,44,黃慧鳳
1101,D6574,日語四甲,日文閱讀指導 (學年),５,必,5,7,星期一,3,3,25,羅曉勤
1101,D8754,日語四甲,日文閱讀指導 (學年),５,必,5,7,星期一,3,3,30,張宜樺
1101,D6575,日語四甲,日文翻譯（一） (學年),３,必,3,4,星期一,2,2,55,葉東哲
1101,D6651,英語四甲,商用英語會話,１,必,1,2,星期一,2,2,30,盛凱翺
