semi,clsno,clsfor,clsName,clsRoom,clsOpt,start,end,week,hour,crid,teacher,sch_type
1092,D1682,企管五甲,科技管理,(7417),必,2,4,星期一,3,3,趙正敏,1
1092,D1683,企管五甲,國際企業管理,(7416),必,5,7,星期一,3,3,袁本麗,1
1092,D1693,企管五乙,企業管理綜合個案研究 (學年),(7606),必,5,7,星期一,3,3,賴明弘,1
1092,D1756,國貿五甲,商用英文習作 (學年),(3805),必,3,4,星期一,2,1,林慧洙,1
1092,D1876,會資五甲,稅務法規與申報實務 (學年),(7402),必,2,4,星期一,3,3,蔡京姐,1
1092,D1877,會資五甲,審計學 (學年),(7401),必,7,8,星期一,4,4,溫宜潔,1
1092,D1888,會資五乙,審計學 (學年),(5207),必,1,2,星期一,4,4,盧丕喬,1
1092,D1945,品設科菁英班五甲,設計專業溝通,(5101),必,3,4,星期一,2,2,張國威,1
1092,D2006,資管五甲,管理資訊系統,(2603),必,2,4,星期一,3,3,王淑玲,1
1092,D2079,日語五甲,日文商用文書寫作 (學年),(3608),必,5,6,星期一,2,2,平澤佳代,1
1092,D7960,資應菁英班五甲,企業實習,(0000),選,1,9,星期一,9,9,姜琇森,1
1092,D4621,保金五甲,理財規劃,(5310),必,5,7,星期一,3,3,卓翠月,1
1092,D2343,保金五乙,年金與退休金規劃,(5311),必,5,7,星期一,3,3,陳冠志,1
1092,D4544,企管四甲,人際關係,(5409),必,2,4,星期一,3,3,龔慧珠,1
1092,D1663,企管四甲,貨幣銀行學 (學年),(5409),選,5,6,星期一,2,2,張瓊燕,1
1092,D1667,企管四甲,管理數學 (學年),(5409),必,7,8,星期一,2,2,陳柏儒,1
1092,D1676,企管四乙,統計學 (學年),(5410),必,2,4,星期一,3,3,簡郁紘,1
1092,D1674,企管四乙,貨幣銀行學 (學年),(5410),選,7,8,星期一,2,2,張瓊燕,1
1092,D1678,企管四乙,管理數學 (學年),(5410),必,5,6,星期一,2,2,陳柏儒,1
1092,D1741,國貿四甲,大學英文選 (學年),(3804),選,3,4,星期一,2,2,馬蕙萱,1
1092,D1738,國貿四甲,商業心理學,(3804),選,5,6,星期一,2,2,邱麗蓉,1
1092,D1852,會資四甲,成本與管理會計學 (學年),(5209),必,2,4,星期一,5,4,郭佳如,1
1092,D1854,會資四甲,會計資訊系統 (學年),(7303),必,5,7,星期一,3,2,盧正宗,1
1092,D1863,會資四乙,企業管理 (學年),(5210),必,2,4,星期一,3,3,林秀霞,1
1092,D1866,會資四乙,會計資訊系統 (學年),(7601),必,5,7,星期一,3,2,陳美嬪,1
1092,D1936,品設科菁英班四甲,設計行銷實務,(4217),必,5,6,星期一,2,2,吳銜容,1
1092,D1932,品設科菁英班四甲,複合媒材設計,(4B05),選,2,4,星期一,3,3,魏明仕,1
1092,D1938,品設科菁英班四甲,關懷商品設計（二）,(4217),必,7,9,星期一,3,3,王譔博,1
1092,D1999,資管四甲,管理數學 (學年),(6602),必,3,4,星期一,2,2,黃慧鳳,1
