semi,clsno,clsfor,clsName,clsRoom,clsOpt,start,end,week,hour,crid,stuCount,teacher
1122,D2695,企管五甲,科技管理,５,必,5,7,星期一,3,3,35,趙正敏
1122,D2893,會資五甲,稅務法規與申報實務 (學年),２,必,2,4,星期一,3,3,37,劉政淮
1122,D3095,日語五甲,新聞日語 (學年),５,必,5,6,星期一,2,2,52,林敏容
1122,D3183,英語五甲,英語演講與溝通 (學年),５,必,5,6,星期一,2,2,27,羅偉安
1122,D3244,資應菁英班五甲,企業實習 (另併１班),１,選,1,1,星期一,9,9,2,林文彥
1122,D8838,資應菁英班五甲,企業實習 (另併１班),１,選,1,1,星期一,9,9,1,邱淑芬
1122,D8839,資應菁英班五甲,企業實習 (另併１班),１,選,1,1,星期一,9,9,3,姜琇森
1122,D8840,資應菁英班五甲,企業實習 (另併１班),１,選,1,1,星期一,9,9,1,柯志坤
1122,D8841,資應菁英班五甲,企業實習 (另併１班),１,選,1,1,星期一,9,9,3,許雯絞
1122,D8842,資應菁英班五甲,企業實習 (另併１班),１,選,1,1,星期一,9,9,3,黃天麒
1122,D8843,資應菁英班五甲,企業實習 (另併１班),１,選,1,1,星期一,9,9,2,蕭國倫
1122,D3356,保金五甲,金融實務,２,必,2,4,星期一,3,3,41,張巧宜
1122,D3367,保金五乙,年金與退休金規劃,５,必,5,7,星期一,3,3,31,陳冠志
1122,D4893,保金五乙,國際金融與匯兌,２,必,2,4,星期一,3,3,31,吳明哲
1122,D3487,資工五甲,機率與統計,２,必,2,4,星期一,3,3,39,曾建維
1122,D4999,企管四甲,人際關係,２,必,2,4,星期一,3,3,44,龔慧珠
1122,D2675,企管四甲,貨幣銀行學 (學年),５,選,5,6,星期一,2,2,40,張瓊燕
1122,D2679,企管四甲,管理數學 (學年),７,必,7,8,星期一,2,2,46,盧慶樺
1122,D2686,企管四乙,貨幣銀行學 (學年),７,選,7,8,星期一,2,2,38,張瓊燕
1122,D2690,企管四乙,管理數學 (學年),５,必,5,6,星期一,2,2,44,盧慶樺
1122,D2755,國貿四甲,商業心理學,５,選,5,6,星期一,2,2,51,陳美如
1122,D2868,會資四甲,企業管理 (學年),２,必,2,4,星期一,3,3,36,林秀霞
1122,D2871,會資四甲,會計資訊系統 (學年),５,必,5,7,星期一,3,2,38,盧正宗
1122,D2881,會資四乙,成本與管理會計學 (學年),２,必,2,4,星期一,5,4,35,郭佳如
1122,D2883,會資四乙,會計資訊系統 (學年),５,必,5,7,星期一,3,2,34,陳美嬪
1122,D2955,品設科菁英班四甲,關懷商品設計（二）,２,必,2,4,星期一,3,3,38,王譔博
1122,D3017,資管四甲,管理數學 (學年),３,必,3,4,星期一,2,2,41,黃慧鳳
1122,D3008,資管四甲,網路程式設計,５,選,5,7,星期一,3,3,49,范敏玄
1122,D3077,日語四甲,日文閱讀指導 (學年),２,必,2,4,星期一,3,3,43,羅曉勤
1122,D3078,日語四甲,日文翻譯（一） (學年),５,必,5,6,星期一,2,2,46,葉東哲
1122,D3231,資應菁英班四甲,作業系統,２,選,2,4,星期一,3,3,25,李銘峰
1122,D3328,保金四甲,保險法,２,必,2,4,星期一,3,3,39,曾耀鋒
1122,D3342,保金四乙,保險法,５,必,5,7,星期一,3,3,40,曾耀鋒
1122,D3349,保金四乙,貨幣銀行學 (學年),３,必,3,4,星期一,2,2,40,卓翠月
1122,D2532,護理三甲,兒科護理學,５,必,5,7,星期一,3,3,52,劉千琪
1122,D2537,護理三甲,體育 (學年),１,必,1,2,星期一,2,0,52,邱裕翔
1122,D2554,護理三乙,體育 (學年),３,必,3,4,星期一,2,0,55,邱裕翔
1122,D2556,護理三乙,英語文 (學年),５,必,5,7,星期一,3,3,57,廖姿斐
1122,D2646,企管三甲,生產與作業管理 (學年),３,必,3,4,星期一,2,2,47,趙正敏
1122,D2649,企管三甲,微積分 (學年),５,必,5,6,星期一,2,2,55,簡郁紘
1122,D2644,企管三甲,資料庫處理 (學年),７,選,7,8,星期一,2,2,41,何順源
1122,D2660,企管三乙,人力資源管理 (學年),５,必,5,6,星期一,2,2,45,呂思齊
1122,D2661,企管三乙,生產與作業管理 (學年),７,必,7,8,星期一,2,2,42,徐牧群
1122,D2656,企管三乙,商業談判,２,選,2,4,星期一,3,3,44,呂思齊
1122,D2740,國貿三甲,生涯規劃,３,必,3,4,星期一,2,2,50,陳美如
1122,D2744,國貿三甲,國際貿易原理與政策 (學年),６,必,6,8,星期一,3,3,50,黃俊儒
