semi,clsno,clsfor,clsName,clsRoom,clsOpt,start,end,week,hour,crid,teacher,sch_type
1122,D8964,企管五甲,物流管理,(7803),必,5,7,星期一,3,3,趙正敏,1
1122,D8965,企管五甲,財務規劃與預測,(7802),必,2,4,星期一,3,3,王朝仕,1
1122,D9046,國貿五甲,國際行銷概論,(3805),必,6,8,星期一,3,3,黃彥智,1
1122,D9159,會資五甲,投資學 (另併１班),(5211),選,5,7,星期一,3,3,李固遠,1
1122,D9168,會資五甲,稅務法規與申報實務 (學年),(5208),必,2,4,星期一,3,3,劉政淮,1
1122,D9234,品設科菁英班五甲,包裝設計,(4218),選,3,4,星期一,2,2,侯純純,1
1122,D9239,品設科菁英班五甲,自主學習專業（二）,(5101),必,5,5,星期一,1,1,王譔博,1
1122,D9375,日語五甲,新聞日語 (學年),(3608),必,5,6,星期一,2,2,林敏容,1
1122,D9366,日語五甲,日語文能力檢定對策（三）,(3608),選,7,8,星期一,2,2,張瓊瑜,1
1122,D9462,英語五甲,英語演講與溝通 (學年),(3401),必,5,6,星期一,2,2,徐琍沂,1
1122,D11387,保金五甲,年金與退休金規劃,(7702),必,5,7,星期一,3,3,陳冠志,1
1122,D9633,保金五甲,社會保險,(7505),必,2,4,星期一,3,3,謝淑慧,1
1122,D9652,保金五乙,社會保險,(7505),必,5,7,星期一,3,3,謝淑慧,1
1122,D9768,資工五甲,實務專題（三）,(0000),必,1,1,星期一,3,2,洪啟舜,1
1122,D14370,資工五甲,實務專題（三）,(0000),必,1,1,星期一,3,2,張家瑋,1
1122,D8945,企管四甲,貨幣銀行學 (學年),(5409),選,5,6,星期一,2,2,張瓊燕,1
1122,D8949,企管四甲,管理數學 (學年),(5409),必,7,8,星期一,2,2,盧慶樺,1
1122,D8957,企管四乙,貨幣銀行學 (學年),(5410),選,7,8,星期一,2,2,張瓊燕,1
1122,D8961,企管四乙,管理數學 (學年),(5410),必,5,6,星期一,2,2,盧慶樺,1
1122,D9025,國貿四甲,貨幣銀行學,(3804),必,5,7,星期一,3,3,鄭美幸,1
1122,D9139,會資四甲,企業管理 (學年),(5209),必,2,4,星期一,3,3,林秀霞,1
1122,D9142,會資四甲,會計資訊系統 (學年),(7303),必,5,7,星期一,3,2,盧正宗,1
1122,D9152,會資四乙,成本與管理會計學 (學年),(5210),必,2,4,星期一,5,4,郭佳如,1
1122,D9154,會資四乙,會計資訊系統 (學年),(7601),必,5,7,星期一,3,2,陳美嬪,1
1122,D9227,品設科菁英班四甲,人因工程,(4215),必,2,4,星期一,3,3,王譔博,1
1122,D9225,品設科菁英班四甲,時尚工藝設計,(4206),選,7,9,星期一,3,3,李本育,1
1122,D9229,品設科菁英班四甲,設計史,(4215),必,5,6,星期一,2,2,蔡宜佳,1
1122,D9291,資管四甲,雲端技術與應用,(2403),必,5,7,星期一,3,3,邱啟員,1
1122,D9296,資管四甲,管理數學 (學年),(6602),必,3,4,星期一,2,2,黃慧鳳,1
1122,D9357,日語四甲,日文閱讀指導 (學年),(3606),必,2,4,星期一,3,3,羅曉勤,1
1122,D9358,日語四甲,日文翻譯（一） (學年),(3606),必,5,6,星期一,2,2,葉東哲,1
1122,D9354,日語四甲,日本文學概論,(3606),必,7,8,星期一,2,2,林敏容,1
1122,D9436,英語四甲,商用英語會話,(3513),必,1,2,星期一,2,2,湯宜臻,1
1122,D11553,英語四甲,商用英語會話,(3502),必,1,2,星期一,2,2,馬丁,1
1122,D9435,英語四甲,溝通心理學,(3513),選,3,4,星期一,2,2,徐琍萍,1
1122,D9604,保金四甲,人身保險,(5308),必,2,4,星期一,3,3,曾耀鋒,1
1122,D11386,保金四甲,期貨與選擇權,(5308),必,5,7,星期一,3,3,郭玟秀,1
1122,D9615,保金四乙,人身保險,(5309),必,5,7,星期一,3,3,曾耀鋒,1
1122,D9621,保金四乙,貨幣銀行學 (學年),(7701),必,3,4,星期一,2,2,卓翠月,1
1122,D9741,資工四甲,多媒體系統 (另併１班),(2702),選,5,7,星期一,3,3,黃培勝,1
1122,D8967,企管五甲,企業管理綜合個案研究 (學年),(7602),必,2,4,星期二,3,3,李家瑩鄭正豐,1
1122,D8974,企管五乙,企業管理綜合個案研究 (學年),(7802),必,5,7,星期二,3,3,張淑婷,1
1122,D8972,企管五乙,財務規劃與預測,(7418),必,2,4,星期二,3,3,王朝仕,1
1122,D9044,國貿五甲,國際金融,(3805),必,2,4,星期二,3,3,李桂枝,1
1122,D9161,會資五甲,財務報告分析 (另併１班),(5211),選,5,7,星期二,3,3,林世揚,1
1122,D9184,會資五乙,審計學 (學年),(5207),必,3,4,星期二,4,4,呂學典,1
1122,D9240,品設科菁英班五甲,運動與健康 (學年),(0000),選,5,6,星期二,2,2,體育老師,1
1122,D9305,資管五甲,電子商務概論,(6602),必,5,7,星期二,3,3,蘇文凱,1
1122,D9371,日語五甲,日文商用文書寫作 (學年),(3608),必,3,4,星期二,2,2,南雄太,1
1122,D9372,日語五甲,日語發表演練 (學年),(3611),必,5,6,星期二,2,2,橘孝司,1
