semi,clsno,clsfor,clsName,clsRoom,clsOpt,start,end,week,hour,crid,teacher,sch_type
1101,D6184,企管五甲,物流管理,(7803),必,5,7,星期一,3,3,趙正敏,1
1101,D6185,企管五甲,財務規劃與預測,(7801),必,2,4,星期一,3,3,王朝仕,1
1101,D6191,企管五乙,物流管理,(7418),必,2,4,星期一,3,3,陳雅玲,1
1101,D6268,國貿五甲,商用英文習作 (學年),(3805),必,3,4,星期一,2,1,林慧洙,1
1101,D6266,國貿五甲,國際行銷概論,(3805),必,6,8,星期一,3,3,黃彥智,1
1101,D6379,會資五甲,投資學 (另併１班),(5211),選,5,7,星期一,3,3,李固遠,1
1101,D6388,會資五甲,稅務法規與申報實務 (學年),(7402),必,2,4,星期一,3,3,王國揚,1
1101,D6454,品設科菁英班五甲,包裝設計,(4218),選,3,4,星期一,2,2,侯純純,1
1101,D6677,英語五甲,英語演講與溝通 (學年),(3401),必,5,6,星期一,2,2,徐琍沂,1
1101,D8549,保金五甲,年金與退休金規劃,(7301),必,5,7,星期一,3,3,陳冠志,1
1101,D6848,保金五甲,社會保險,(5310),必,2,4,星期一,3,3,謝淑慧,1
1101,D6867,保金五乙,社會保險,(5311),必,5,7,星期一,3,3,謝淑慧,1
1101,D6038,護理四甲,手術室護理概論 (另併１班),(T211),選,3,4,星期一,2,2,陳光慧,1
1101,D6039,護理四甲,生死觀照 (另併１班),(T211),選,7,8,星期一,2,2,陳芷如,1
1101,D6052,護理四甲,醫護英文,(T211),必,5,6,星期一,2,2,陳芷如,1
1101,D6070,護理四乙,醫護英文,(T402),必,5,6,星期一,2,2,張玠,1
1101,D6165,企管四甲,貨幣銀行學 (學年),(5409),選,5,6,星期一,2,2,張瓊燕,1
1101,D6169,企管四甲,管理數學 (學年),(5409),必,7,8,星期一,2,2,盧慶樺,1
1101,D6177,企管四乙,貨幣銀行學 (學年),(5410),選,7,8,星期一,2,2,張瓊燕,1
1101,D6181,企管四乙,管理數學 (學年),(5410),必,5,6,星期一,2,2,盧慶樺,1
1101,D6246,國貿四甲,大學英文選 (學年),(3804),選,3,4,星期一,2,2,馬蕙萱,1
1101,D6245,國貿四甲,貨幣銀行學,(3804),必,5,7,星期一,3,3,鄭美幸,1
1101,D6359,會資四甲,企業管理 (學年),(5209),必,2,4,星期一,3,3,林秀霞,1
1101,D6362,會資四甲,會計資訊系統 (學年),(7303),必,5,7,星期一,3,2,盧正宗,1
1101,D6372,會資四乙,成本與管理會計學 (學年),(5210),必,2,4,星期一,5,4,郭佳如,1
1101,D6374,會資四乙,會計資訊系統 (學年),(7601),必,5,7,星期一,3,2,陳美嬪,1
1101,D6447,品設科菁英班四甲,人因工程,(4215),必,2,4,星期一,3,3,王譔博,1
1101,D6445,品設科菁英班四甲,時尚工藝設計,(4206),選,7,9,星期一,3,3,李本育,1
1101,D6449,品設科菁英班四甲,設計史,(4215),必,5,6,星期一,2,2,蔡宜佳,1
1101,D6511,資管四甲,雲端技術與應用,(2403),必,5,7,星期一,3,3,邱啟員,1
1101,D6516,資管四甲,管理數學 (學年),(6602),必,3,4,星期一,2,2,黃慧鳳,1
1101,D6574,日語四甲,日文閱讀指導 (學年),(3606),必,5,7,星期一,3,3,羅曉勤,1
1101,D8754,日語四甲,日文閱讀指導 (學年),(3613),必,5,7,星期一,3,3,張宜樺,1
1101,D6575,日語四甲,日文翻譯（一） (學年),(3606),必,3,4,星期一,2,2,葉東哲,1
1101,D6651,英語四甲,商用英語會話,(3513),必,1,2,星期一,2,2,盛凱翺,1
1101,D8472,英語四甲,商用英語會話,(3502),必,1,2,星期一,2,2,馬丁,1
