semi,clsno,clsfor,clsName,clsRoom,clsOpt,start,end,week,hour,crid,teacher,sch_type
1102,D2562,企管五甲,科技管理,(7416),必,5,7,星期一,3,3,趙正敏魏莉芳,1
1102,D2639,國貿五甲,商用英文習作 (學年),(3805),必,3,4,星期一,2,1,林慧洙,1
1102,D2759,會資五甲,稅務法規與申報實務 (學年),(7402),必,2,4,星期一,3,3,王國揚,1
1102,D2889,資管五甲,管理資訊系統,(2604),必,2,4,星期一,3,3,王淑玲,1
1102,D4881,資管五甲,企業專業實習 (另併１班),(0000),選,1,1,星期一,6,6,連俊瑋,1
1102,D8232,資管五甲,企業專業實習 (另併１班),(0000),選,1,1,星期一,6,6,陳大仁,1
1102,D8233,資管五甲,企業專業實習 (另併１班),(0000),選,1,1,星期一,6,6,廖士寬,1
1102,D8234,資管五甲,企業專業實習 (另併１班),(0000),選,1,1,星期一,6,6,蕭國倫,1
1102,D8235,資管五甲,企業專業實習 (另併１班),(0000),選,1,1,星期一,6,6,駱榮問,1
1102,D8314,資管五甲,企業專業實習 (另併１班),(0000),選,1,1,星期一,6,6,黃天麒,1
1102,D3044,英語五甲,英語演講與溝通 (學年),(3401),必,5,6,星期一,2,2,徐琍沂,1
1102,D3216,保金五甲,金融實務,(5309),必,2,4,星期一,3,3,張巧宜,1
1102,D3227,保金五乙,年金與退休金規劃,(7301),必,5,7,星期一,3,3,陳冠志,1
1102,D4732,保金五乙,國際金融與匯兌,(5311),必,2,4,星期一,3,3,吳明哲,1
1102,D4848,企管四甲,人際關係,(5409),必,2,4,星期一,3,3,龔慧珠,1
1102,D2542,企管四甲,貨幣銀行學 (學年),(5409),選,5,6,星期一,2,2,張瓊燕,1
1102,D2546,企管四甲,管理數學 (學年),(5409),必,7,8,星期一,2,2,盧慶樺,1
1102,D2553,企管四乙,貨幣銀行學 (學年),(5410),選,7,8,星期一,2,2,張瓊燕,1
1102,D2557,企管四乙,管理數學 (學年),(5410),必,5,6,星期一,2,2,盧慶樺,1
1102,D2624,國貿四甲,大學英文選 (學年),(3804),選,3,4,星期一,2,2,馬蕙萱,1
1102,D2621,國貿四甲,商業心理學,(3804),選,5,6,星期一,2,2,邱麗蓉,1
1102,D2734,會資四甲,企業管理 (學年),(5209),必,2,4,星期一,3,3,林秀霞,1
1102,D2737,會資四甲,會計資訊系統 (學年),(7303),必,5,7,星期一,3,2,盧正宗,1
1102,D2747,會資四乙,成本與管理會計學 (學年),(5210),必,2,4,星期一,5,4,郭佳如,1
1102,D2749,會資四乙,會計資訊系統 (學年),(7605),必,5,7,星期一,3,2,陳美嬪,1
1102,D2815,品設科菁英班四甲,複合媒材設計,(4217),選,2,4,星期一,3,3,魏明仕,1
1102,D2821,品設科菁英班四甲,關懷商品設計（二）,(4215),必,5,7,星期一,3,3,王譔博,1
1102,D2882,資管四甲,管理數學 (學年),(6602),必,3,4,星期一,2,2,黃慧鳳,1
1102,D2940,日語四甲,日文閱讀指導 (學年),(3606),必,5,7,星期一,3,3,羅曉勤,1
1102,D4777,日語四甲,日文閱讀指導 (學年),(3613),必,5,7,星期一,3,3,張宜樺,1
1102,D2941,日語四甲,日文翻譯（一） (學年),(3606),必,3,4,星期一,2,2,葉東哲,1
1102,D3092,資應菁英班四甲,作業系統,(2401),選,2,4,星期一,3,3,范敏玄,1
1102,D3192,保金四甲,日文 (學年),(3601),選,5,6,星期一,2,2,林敏容,1
1102,D3188,保金四甲,保險法,(5308),必,2,4,星期一,3,3,曾耀鋒,1
1102,D3202,保金四乙,保險法,(5309),必,5,7,星期一,3,3,曾耀鋒,1
1102,D3209,保金四乙,貨幣銀行學 (學年),(7701),必,3,4,星期一,2,2,卓翠月,1
1102,D5199,資工四甲,行動裝置程式設計,(2704),選,5,7,星期一,3,3,張鈞淯,1
1102,D3321,資工四甲,實務專題（二）,(0000),必,1,1,星期一,3,2,洪啟舜,1
1102,D3322,資工四甲,系統與網路管理,(3811),必,2,4,星期一,3,3,林維展,1
1102,D2400,護理三甲,兒科護理學,(T503),必,5,7,星期一,3,3,劉千琪,1
1102,D2427,護理五甲,內外科護理學總論 (另併１班),(T211),選,3,4,星期二,2,2,曾月霞楊其璇林靜娟,1
1102,D2428,護理五甲,急診醫學概論 (另併１班),(T211),選,1,2,星期二,2,2,張耀田,1
1102,D2437,護理五甲,護理行政概論,(T301),必,5,6,星期二,2,2,饒瑞玉吳佳錚,1
1102,D2438,護理五甲,護理專業問題研討,(T301),必,7,8,星期二,2,2,楊鳳凰程淑媛,1
