semi,clsno,clsfor,clsName,clsRoom,clsOpt,start,end,week,hour,crid,teacher,sch_type
1082,D5894,護理五甲,實用藥理學 (另併１班),(T211),選,3,4,星期一,2,2,楊宜真,1
1082,D5897,護理五甲,護理英文主題閱讀 (另併１班),(T304),選,5,6,星期一,2,2,徐幸琪,1
1082,D6039,企管五乙,企業管理綜合個案研究 (學年),(7606),必,5,7,星期一,3,3,賴明弘,1
1082,D6036,企管五乙,科技管理,(7802),必,2,4,星期一,3,3,趙正敏,1
1082,D6106,國貿五甲,商用英文習作 (學年),(3805),必,1,2,星期一,2,1,林慧洙,1
1082,D6103,國貿五甲,國際貿易資訊化練習,(3806),必,3,4,星期一,2,1,張慈淑,1
1082,D6230,會資五甲,稅務法規與申報實務 (學年),(5211),必,2,4,星期一,3,3,蔡京姐,1
1082,D6229,會資五甲,應用微積分 (學年) (另併１班),(7403),選,5,7,星期一,3,3,詹明華,1
1082,D6242,會資五乙,審計學 (學年),(7305),必,1,4,星期一,4,4,盧丕喬,1
1082,D6430,日語五甲,日本經濟,(3608),必,7,8,星期一,2,2,張銘今,1
1082,D6438,日語五甲,新聞英語 (學年),(3608),選,5,6,星期一,2,2,廖家弘,1
1082,D6591,資應菁英班五甲,擴增實境,(2604),選,2,4,星期一,3,3,周殷菀,1
1082,D6702,保金五甲,保險實務,(7301),必,2,4,星期一,3,3,王財驛,1
1082,D8272,保金五乙,理財規劃,(7505),必,2,4,星期一,3,3,卓翠月,1
1082,D8234,企管四甲,人際關係,(5409),必,2,4,星期一,3,3,龔慧珠,1
1082,D6009,企管四甲,貨幣銀行學 (學年),(5409),選,5,6,星期一,2,2,張瓊燕,1
1082,D6013,企管四甲,管理數學 (學年),(5409),必,7,8,星期一,2,2,陳柏儒,1
1082,D6022,企管四乙,統計學 (學年),(5410),必,2,4,星期一,3,3,簡郁紘,1
1082,D6024,企管四乙,管理數學 (學年),(5410),必,5,6,星期一,2,2,陳柏儒,1
1082,D6089,國貿四甲,大學英文選 (學年),(3804),選,3,4,星期一,2,2,馬蕙萱,1
