semi,clsno,clsfor,clsName,clsRoom,clsOpt,start,end,week,hour,crid,teacher,sch_type
1081,D6115,企管五乙,企業管理綜合個案研究 (學年),(7606),必,5,7,星期一,3,3,賴明弘,1
1081,D6113,企管五乙,財務規劃與預測,(7418),必,2,4,星期一,3,3,王朝仕,1
1081,D6189,國貿五甲,商用英文習作 (學年),(3805),必,1,2,星期一,2,1,林慧洙,1
1081,D6186,國貿五甲,國際貿易個案研究,(3805),必,3,4,星期一,2,1,郭美韶,1
1081,D6187,國貿五甲,國際行銷概論,(3805),必,6,8,星期一,3,3,黃彥智,1
1081,D6313,會資五甲,稅務法規與申報實務 (學年),(7402),必,2,4,星期一,3,3,蔡京姐,1
1081,D6314,會資五甲,審計學 (學年),(7308),必,8,8,星期一,4,4,溫宜潔,1
1081,D6312,會資五甲,應用微積分 (學年) (另併１班),(7403),選,5,7,星期一,3,3,詹明華,1
1081,D6329,會資五乙,審計學 (學年),(5207),必,1,4,星期一,4,4,盧丕喬,1
1081,D6518,日語五甲,日本企業組織與管理,(3608),必,7,8,星期一,2,2,張銘今,1
1081,D6526,日語五甲,新聞英語 (學年),(3608),選,5,6,星期一,2,2,廖家弘,1
1081,D6787,保金五甲,社會保險,(7505),必,6,8,星期一,3,3,謝淑慧,1
1081,D6808,保金五乙,國際金融與匯兌,(7702),必,2,4,星期一,3,3,郭玟秀,1
1081,D5940,護理四甲,重症護理概論 (另併１班),(T301),選,5,6,星期一,2,2,蘇淑芬,1
1081,D5944,護理四甲,靈性照護 (另併１班),(T301),選,3,4,星期一,2,2,洪素寬,1
1081,D5969,護理四乙,醫護英文,(T301),必,2,2,星期一,3,3,張玠,1
1081,D6086,企管四甲,貨幣銀行學 (學年),(5409),選,5,6,星期一,2,2,張瓊燕,1
1081,D6090,企管四甲,管理數學 (學年),(5409),必,7,8,星期一,2,2,陳柏儒,1
1081,D6100,企管四乙,統計學 (學年),(5410),必,2,4,星期一,3,3,簡郁紘,1
1081,D6102,企管四乙,管理數學 (學年),(5410),必,5,6,星期一,2,2,陳柏儒,1
1081,D6166,國貿四甲,大學英文選 (學年),(3804),選,3,4,星期一,2,2,馬蕙萱,1
1081,D6165,國貿四甲,貨幣銀行學,(3804),必,5,7,星期一,3,3,鄭美幸,1
1081,D6285,會資四甲,成本與管理會計學 (學年),(5209),必,3,4,星期一,5,4,郭佳如,1
1081,D6286,會資四甲,高級會計學 (學年),(5209),必,2,5,星期一,4,3,蔡美秀,1
1081,D6287,會資四甲,會計資訊系統 (學年),(7303),必,6,8,星期一,3,2,盧正宗,1
1081,D6296,會資四乙,企業管理 (學年),(5210),必,2,4,星期一,3,3,林秀霞,1
1081,D6297,會資四乙,成本與管理會計學 (學年),(5210),必,5,6,星期一,5,4,郭佳如,1
1081,D6299,會資四乙,會計資訊系統 (學年),(7601),必,7,9,星期一,3,2,陳美嬪,1
1081,D6371,品設科菁英班四甲,金屬裝飾技法,(4203),選,7,9,星期一,3,3,李本育,1
1081,D6377,品設科菁英班四甲,設計史,(4206),必,5,6,星期一,2,2,謝寶泰,1
1081,D6379,品設科菁英班四甲,關懷商品設計（一）,(4218),必,2,4,星期一,3,3,張國威,1
1081,D6441,資管四甲,雲端技術與應用,(2403),必,5,7,星期一,3,3,邱啟員,1
1081,D6446,資管四甲,管理數學 (學年),(6602),必,3,4,星期一,2,2,黃慧鳳,1
1081,D6507,日語四甲,日文閱讀指導 (學年),(3606),必,5,7,星期一,3,3,楊家源,1
1081,D6515,日語四甲,國際貿易理論與政策 (學年),(3606),必,3,4,星期一,2,2,張銘今,1
1081,D6584,英語四甲,商用英語會話,(3513),必,1,2,星期一,2,2,盛凱翺,1
1081,D8585,英語四甲,商用英語會話,(3502),必,1,2,星期一,2,2,馬丁,1
1081,D6583,英語四甲,溝通心理學,(3513),選,3,4,星期一,2,2,劉朝清,1
1081,D6663,資應菁英班四甲,系統分析與設計,(2604),必,2,4,星期一,3,3,陳哲弘,1
1081,D6755,保金四甲,保險業經營管理 (另併１班),(5308),選,5,7,星期一,3,3,潘以諾,1
1081,D6108,企管五甲,企業管理綜合個案研究 (學年),(7602),必,5,7,星期二,3,3,李家瑩,1
1081,D6106,企管五甲,財務規劃與預測,(7418),必,2,4,星期二,3,3,王朝仕,1
1081,D6112,企管五乙,物流管理,(7801),必,2,4,星期二,3,3,陳薇如,1
1081,D6184,國貿五甲,國貿法規,(3805),必,7,8,星期二,2,2,郭鐘元,1
1081,D6185,國貿五甲,國際金融,(3805),必,2,4,星期二,3,3,李桂枝,1
1081,D6188,國貿五甲,運動與健康 (學年),(0000),選,5,6,星期二,2,2,體育老師,1
1081,D6304,會資五甲,投資學 (另併１班),(5211),選,2,4,星期二,3,3,林世揚,1
1081,D6306,會資五甲,財務報告分析 (另併１班),(5207),選,5,7,星期二,3,3,林世揚,1
1081,D6388,品設科菁英班五甲,運動與健康 (學年),(0000),選,5,6,星期二,2,2,體育老師,1
1081,D6528,日語五甲,日文商用文書寫作 (學年),(3604),必,7,8,星期二,2,2,南雄太,1
1081,D6532,日語五甲,英語聽講練習（五） (學年),(3413),必,5,6,星期二,2,1,蔡嬌燕,1
1081,D6607,英語五甲,世界文化導讀 (學年),(3508),選,5,6,星期二,2,2,李如芬,1
1081,D6614,英語五甲,經濟學 (學年),(3508),必,3,4,星期二,2,2,陳佑昌,1
1081,D6669,資應菁英班五甲,人機互動設計,(2407),選,5,7,星期二,3,3,周殷菀,1
1081,D9095,保金五甲,年金與退休金規劃,(7506),必,2,4,星期二,3,3,陳冠志,1
1081,D6788,保金五甲,商用英文會話,(3414),必,5,6,星期二,2,2,謝怡帆,1
1081,D8653,保金五甲,授信理論與實務 (另併１班),(5309),選,7,8,星期二,3,3,許峰睿,1
1081,D9096,保金五乙,金融實務,(5308),必,2,4,星期二,3,3,陳靜宜,1
1081,D8527,體育五甲,運動與健康 - 桌球,(0000),選,5,6,星期二,2,2,趙宸紳,1
1081,D8270,體育五乙,運動與健康 - 瑜珈提斯,(0000),選,7,8,星期二,2,2,郭瑜婷,1
1081,D5947,護理四甲,社區衛生護理學,(T301),必,2,4,星期二,3,3,王淑諒,1
1081,D5941,護理四甲,案例分析 (另併１班),(T301),選,7,8,星期二,2,2,林麗英,1
1081,D5951,護理四甲,護理專業寫作概論,(T301),必,5,6,星期二,2,2,劉千琪,1
1081,D5967,護理四乙,精神科護理學,(T304),必,3,4,星期二,3,3,柯貞如,1
1081,D5969,護理四乙,醫護英文,(T301),必,2,2,星期一,3,3,張玠,1
1081,D6087,企管四甲,生涯運動 (學年),(0000),必,7,8,星期二,2,0,體育老師,1
1081,D6089,企管四甲,管理資訊系統 (學年),(7605),必,5,6,星期二,2,2,陳弘岳,1
1081,D6099,企管四乙,生涯運動 (學年),(0000),必,5,6,星期二,2,0,體育老師,1
1081,D6096,企管四乙,消費者行為,(5410),必,2,4,星期二,3,3,黃月春,1
1081,D6101,企管四乙,管理資訊系統 (學年),(7605),必,7,8,星期二,2,2,陳弘岳,1
1081,D6168,國貿四甲,生涯運動 (學年),(0000),必,5,6,星期二,2,0,體育老師,1
1081,D6171,國貿四甲,國際貿易實務 (學年),(3804),必,2,3,星期二,4,4,楊維娟,1
1081,D6283,會資四甲,生涯運動 (學年),(0000),必,5,6,星期二,2,0,體育老師,1
1081,D6284,會資四甲,企業管理 (學年),(5209),必,2,4,星期二,3,3,林秀霞,1
1081,D6286,會資四甲,高級會計學 (學年),(5209),必,2,5,星期一,4,3,蔡美秀,1
1081,D6295,會資四乙,生涯運動 (學年),(0000),必,7,8,星期二,2,0,體育老師,1
1081,D6297,會資四乙,成本與管理會計學 (學年),(5210),必,5,6,星期一,5,4,郭佳如,1
1081,D6298,會資四乙,高級會計學 (學年),(5210),必,5,6,星期二,4,3,蔡美秀,1
1081,D6380,品設科菁英班四甲,生涯運動 (學年),(0000),必,7,8,星期二,2,0,體育老師,1
1081,D6372,品設科菁英班四甲,家具設計,(4206),選,2,4,星期二,3,3,魏明仕,1
1081,D5981,護理五甲,週會/班會 (學年),(0000),必,7,8,星期三,2,0,鄭美莉,1
1081,D5991,護理五乙,週會/班會 (學年),(0000),必,7,8,星期三,2,0,王萱萁,1
1081,D6110,企管五甲,週會/班會 (學年),(3511),必,7,8,星期三,2,0,李麗蘋,1
1081,D6117,企管五乙,週會/班會 (學年),(7418),必,7,8,星期三,2,0,趙正敏,1
1081,D6190,國貿五甲,商業英語會話 (學年),(3411),必,2,4,星期三,3,1,李金玲,1
1081,D8137,國貿五甲,商業英語會話 (學年),(3415),必,2,4,星期三,3,1,湯馬丁,1
