semi,clsno,clsfor,clsName,clsRoom,clsOpt,start,end,week,hour,crid,teacher,sch_type
1112,D8838,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,邱淑芬,1
1112,D8839,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,姜琇森,1
1112,D8840,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,柯志坤,1
1112,D8841,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,許雯絞,1
1112,D8842,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,黃天麒,1
1112,D8843,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,蕭國倫,1
1112,D4890,保金五甲,理財規劃,(5310),必,2,4,星期二,3,3,卓翠月,1
1112,D3485,資工五甲,計算機組織,(2506),必,1,1,星期二,3,3,蔡家緯,1
1112,D5022,資工五甲,運動與健康 (學年),(0000),選,7,8,星期二,2,2,體育老師,1
1112,D4687,體育五甲,運動與健康 - 桌球,(0000),選,5,6,星期二,2,2,陳世恩,1
1112,D4688,體育五乙,運動與健康 - 瑜珈提斯,(0000),選,7,8,星期二,2,2,郭瑜婷,1
1112,D2676,企管四甲,生涯運動 (學年),(0000),必,7,8,星期二,2,0,體育老師,1
1112,D2671,企管四甲,顧客服務管理 (另併１班),(5409),選,2,4,星期二,3,3,羅書婷,1
1112,D2687,企管四乙,生涯運動 (學年),(0000),必,5,6,星期二,2,0,體育老師,1
1112,D2689,企管四乙,管理資訊系統 (學年),(7606),必,7,8,星期二,2,2,賴慧敏,1
1112,D2760,國貿四甲,生涯運動 (學年),(0000),必,5,6,星期二,2,0,體育老師,1
1112,D2756,國貿四甲,總體經濟學,(3804),選,2,4,星期二,3,3,王韋能,1
1112,D5464,國貿四甲,跨境電商與貿易,(3804),選,7,8,星期二,2,2,陳美如,1
1112,D2561,護理五甲,週會/班會 (學年),(M505),必,7,8,星期三,2,0,葉月珍,1
1112,D2567,護理五甲,實用藥理學 (另併１班),(T211),選,1,2,星期三,2,2,楊宜真,1
1112,D2573,護理五乙,週會/班會 (學年),(M403),必,7,8,星期三,2,0,許明珠,1
1112,D2696,企管五甲,國際企業管理,(7416),必,2,4,星期三,3,3,蘇文凱,1
1112,D2691,企管五甲,週會/班會 (學年),(3511),必,7,8,星期三,2,0,王鈞逸,1
1112,D2700,企管五乙,週會/班會 (學年),(7418),必,7,8,星期三,2,0,張又心,1
1112,D2774,國貿五甲,國際企業概論 (學年),(3805),必,5,6,星期三,2,2,黃俊儒,1
1112,D2765,國貿五甲,週會/班會 (學年),(3805),必,7,8,星期三,2,0,王韋能,1
1112,D2775,國貿五甲,商業英語會話（三） (學年),(3412),必,2,4,星期三,3,1,李湘齡,1
1112,D4746,國貿五甲,商業英語會話（三） (學年),(3415),必,2,4,星期三,3,1,李金玲,1
1112,D2884,會資五甲,週會/班會 (學年),(5211),必,7,8,星期三,2,0,黃玟心,1
1112,D2894,會資五甲,審計學 (學年),(7306),必,3,4,星期三,4,4,黃惠君,1
1112,D2895,會資五乙,週會/班會 (學年),(5207),必,7,8,星期三,2,0,張嘉容,1
1112,D2905,會資五乙,審計學 (學年),(5207),必,3,4,星期二,4,4,呂學典,1
1112,D2962,品設科菁英班五甲,設計專業溝通,(4218),必,3,4,星期三,2,2,張國威,1
1112,D3024,資管五甲,管理資訊系統,(2604),必,2,4,星期三,3,3,王淑玲,1
1112,D8886,日語五甲,日文小品文,(3405),選,1,2,星期三,2,2,張宜樺,1
1112,D3093,日語五甲,日語聽講練習（五） (學年),(3608),必,3,4,星期三,2,1,蘇佳瑩,1
1112,D3087,日語五甲,財務管理,(3608),必,5,7,星期三,3,3,李嗣堯,1
1112,D3185,英語五甲,英語語音學 (學年),(3508),必,3,4,星期三,2,2,曾琦芬,1
1112,D3186,英語五甲,商用英文 (學年),(3503),必,6,8,星期三,3,3,湯宜臻,1
1112,D3244,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,林文彥,1
1112,D8838,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,邱淑芬,1
1112,D8839,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,姜琇森,1
1112,D8840,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,柯志坤,1
1112,D8841,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,許雯絞,1
1112,D8842,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,黃天麒,1
1112,D8843,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,蕭國倫,1
1112,D3358,保金五甲,保險實務,(5310),必,2,4,星期三,3,3,王財驛,1
1112,D3350,保金五甲,週會/班會 (學年),(5310),必,7,8,星期三,2,0,劉議謙,1
1112,D4889,保金五甲,意外保險,(5310),必,1,6,星期三,3,3,張瑞益,1
1112,D3370,保金五乙,保險實務,(5311),必,2,4,星期三,3,3,劉俊廷,1
1112,D3362,保金五乙,週會/班會 (學年),(5311),必,7,8,星期三,2,0,陳冠志,1
1112,D3486,資工五甲,演算法,(6701),必,2,4,星期三,3,3,蔡家緯,1
1112,D5423,資工五甲,網路雲端實務應用,(2302),選,5,7,星期三,3,3,邱啟員,1
1112,D2557,護理四甲,週會/班會 (學年),(T401),必,7,8,星期三,2,0,曾月霞,1
1112,D2559,護理四乙,週會/班會 (學年),(T402),必,7,8,星期三,2,0,楊宜真,1
1112,D2670,企管四甲,服務業日文（二） (另併１班),(5409),選,3,4,星期三,2,2,張瓊燕,1
1112,D2669,企管四甲,週會/班會 (學年),(5409),必,7,8,星期三,2,0,陳柏儒,1
1112,D2678,企管四甲,管理資訊系統 (學年),(7501),必,5,6,星期三,2,2,賴慧敏,1
1112,D2704,企管五乙,科技管理,(7802),必,5,7,星期四,3,3,趙正敏,1
1112,D2773,國貿五甲,商用英文習作 (學年),(3805),必,1,2,星期四,2,1,林慧洙,1
1112,D2769,國貿五甲,國際貿易會計實務,(3805),必,5,7,星期四,3,3,陳香如,1
1112,D2770,國貿五甲,國際貿易資訊化練習,(3805),必,3,4,星期四,2,1,張慈淑,1
1112,D2894,會資五甲,審計學 (學年),(7306),必,3,4,星期三,4,4,黃惠君,1
1112,D2904,會資五乙,稅務法規與申報實務 (學年),(5211),必,2,4,星期四,3,3,蔡京姐,1
1112,D2960,品設科菁英班五甲,設計鑑賞,(4218),選,5,6,星期四,2,2,侯純純,1
1112,D2958,品設科菁英班五甲,週會/班會 (學年),(4218),必,7,8,星期四,2,0,蔡宜佳,1
1112,D3018,資管五甲,週會/班會 (學年),(2403),必,7,8,星期四,2,0,蕭沐棟,1
1112,D3084,日語五甲,週會/班會 (學年),(3608),必,7,8,星期四,2,0,謝爵州,1
1112,D4919,英語五甲,英語演講與溝通 (學年),(3401),必,5,6,星期四,2,2,羅偉安,1
1112,D3184,英語五甲,英語語言學概論 (學年),(3508),必,3,4,星期四,2,2,曾琦芬,1
1112,D3168,英語五甲,週會/班會 (學年),(3508),必,7,8,星期四,2,0,趙雅莉,1
1112,D3244,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,林文彥,1
1112,D8838,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,邱淑芬,1
1112,D8839,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,姜琇森,1
1112,D8840,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,柯志坤,1
1112,D8841,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,許雯絞,1
1112,D8842,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,黃天麒,1
1112,D8843,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,蕭國倫,1
1112,D3243,資應菁英班五甲,週會/班會 (學年),(6601),必,7,8,星期四,2,0,林文彥,1
1112,D3369,保金五乙,信託與投資,(7605),必,2,4,星期四,3,3,簡淑華,1
1112,D3485,資工五甲,計算機組織,(2506),必,1,1,星期二,3,3,蔡家緯,1
1112,D3478,資工五甲,週會/班會 (學年),(5311),必,7,8,星期四,2,0,洪啟舜,1
1112,D2672,企管四甲,投資學,(5409),必,2,4,星期四,3,3,王親仁,1
1112,D2673,企管四甲,服務業管理,(5409),必,5,7,星期四,3,3,黃月春,1
1112,D2683,企管四乙,投資學,(5410),必,5,7,星期四,3,3,王親仁,1
1112,D4925,國貿四甲,行銷學,(3804),必,5,7,星期四,3,3,蔡樹芬,1
1112,D2763,國貿四甲,國際貿易實務 (學年),(3804),必,3,4,星期四,4,4,楊維娟,1
1112,D2869,會資四甲,成本與管理會計學 (學年),(5209),必,2,4,星期二,5,4,郭佳如,1
1112,D4851,會資四甲,財務數學,(5209),必,3,4,星期三,4,4,詹明華,1
1112,D2870,會資四甲,高級會計學 (學年),(5209),必,7,8,星期二,4,3,蔡美秀,1
1112,D2866,會資四甲,會計英文選讀 (學年) (另併１班),(5209),選,1,2,星期四,2,2,彭玉玲,1
1112,D2881,會資四乙,成本與管理會計學 (學年),(5210),必,2,4,星期一,5,4,郭佳如,1
